Frame,FPS,MemoryMB,BelowTarget
675,73.10,1551.94,0
676,96.17,1552.52,0
677,68.87,1552.50,0
678,82.07,1551.79,0
679,108.19,1552.54,0
680,85.03,1552.16,0
681,105.23,1552.35,0
682,80.89,1551.76,0
683,109.81,1552.33,0
684,82.23,1551.63,0
685,102.29,1552.28,0
686,80.36,1551.94,0
687,102.35,1552.35,0
688,81.19,1552.37,0
689,82.14,1552.07,0
690,111.38,1552.29,0
691,74.14,1551.82,0
692,88.99,1552.24,0
693,64.45,1552.35,0
694,69.58,1552.02,0
695,73.10,1552.46,0
696,85.66,1552.53,0
697,84.30,1551.94,0
698,100.34,1552.50,0
699,80.93,1551.72,0
700,101.52,1552.59,0
701,80.58,1551.86,0
702,104.19,1552.58,0
703,75.31,1552.55,0
704,83.41,1551.85,0
705,93.20,1552.76,0
706,49.30,1552.83,1
707,80.71,1552.20,0
708,82.35,1552.93,0
709,71.15,1552.90,0
710,71.31,1552.29,0
711,88.20,1553.01,0
712,74.92,1553.01,0
713,77.92,1552.47,0
714,109.24,1552.99,0

AverageFPS,80.00
FramesBelowTarget,78
FinalMemoryMB,1552.99
