Frame,LeftArmError,RightArmError,LeftLegError,RightLegError
189,0.2931,0.3332,0.2218,0.2990
190,0.2931,0.3332,0.2218,0.2990
191,0.2931,0.3332,0.2218,0.2990
192,0.2931,0.3332,0.2218,0.2990
193,0.2931,0.3332,0.2218,0.2990
194,0.2931,0.3332,0.2218,0.2990
195,0.2931,0.3332,0.2218,0.2990
196,0.2931,0.3332,0.2218,0.2990
197,0.2931,0.3332,0.2218,0.2990
198,0.2931,0.3332,0.2218,0.2990
199,0.2931,0.3332,0.2218,0.2990
200,0.2931,0.3332,0.2218,0.2990
201,0.2931,0.3332,0.2218,0.2990
202,0.2931,0.3332,0.2218,0.2990
203,0.2931,0.3332,0.2218,0.2990
204,0.2931,0.3332,0.2218,0.2990
205,0.2931,0.3332,0.2218,0.2990
206,0.2931,0.3332,0.2218,0.2990
207,0.2931,0.3332,0.2218,0.2990
208,0.2931,0.3332,0.2218,0.2990
209,0.2931,0.3332,0.2218,0.2990
210,0.2931,0.3332,0.2218,0.2990
211,0.2931,0.3332,0.2218,0.2990
212,0.2931,0.3332,0.2218,0.2990
213,0.2931,0.3332,0.2218,0.2990
214,0.2931,0.3332,0.2218,0.2990
215,0.2931,0.3332,0.2218,0.2990
216,0.2931,0.3332,0.2218,0.2990
217,0.2931,0.3332,0.2218,0.2990
218,0.2931,0.3332,0.2218,0.2990
219,0.2931,0.3332,0.2218,0.2990
220,0.2931,0.3332,0.2218,0.2990
221,0.2931,0.3332,0.2218,0.2990
222,0.2931,0.3332,0.2218,0.2990
223,0.2931,0.3332,0.2218,0.2990
224,0.2931,0.3332,0.2218,0.2990
225,0.2931,0.3332,0.2218,0.2990
226,0.2931,0.3332,0.2218,0.2990
227,0.2931,0.3332,0.2218,0.2990
228,0.2931,0.3332,0.2218,0.2990
229,0.2931,0.3332,0.2218,0.2990
230,0.2931,0.3332,0.2218,0.2990
231,0.2931,0.3332,0.2218,0.2990
232,0.2931,0.3332,0.2218,0.2990
233,0.2931,0.3332,0.2218,0.2990
234,0.2931,0.3332,0.2218,0.2990
235,0.2931,0.3332,0.2218,0.2990
236,0.2931,0.3332,0.2218,0.2990
237,0.2931,0.3332,0.2218,0.2990
238,0.2931,0.3332,0.2218,0.2990
239,0.2931,0.3332,0.2218,0.2990
240,0.2931,0.3332,0.2218,0.2990
241,0.2931,0.3332,0.2218,0.2990
242,0.2931,0.3332,0.2218,0.2990
243,0.2931,0.3332,0.2218,0.2990
244,0.2931,0.3332,0.2218,0.2990
245,0.2931,0.3332,0.2218,0.2990
246,0.2931,0.3332,0.2218,0.2990
247,0.2931,0.3332,0.2218,0.2990
248,0.2931,0.3332,0.2218,0.2990
249,0.2931,0.3332,0.2218,0.2990
250,0.2931,0.3332,0.2218,0.2990
251,0.2931,0.3332,0.2218,0.2990
252,0.2931,0.3332,0.2218,0.2990
253,0.2931,0.3332,0.2218,0.2990
254,0.2931,0.3332,0.2218,0.2990
255,0.2931,0.3332,0.2218,0.2990
256,0.2931,0.3332,0.2218,0.2990
257,0.2931,0.3332,0.2218,0.2990
258,0.2931,0.3332,0.2218,0.2990
259,0.2931,0.3332,0.2218,0.2990
260,0.2931,0.3332,0.2218,0.2990
261,0.2931,0.3332,0.2218,0.2990
262,0.2931,0.3332,0.2218,0.2990
263,0.2931,0.3332,0.2218,0.2990
264,0.2931,0.3332,0.2218,0.2990
265,0.2931,0.3332,0.2218,0.2990
266,0.2931,0.3332,0.2218,0.2990
267,0.2931,0.3332,0.2218,0.2990
268,0.2931,0.3332,0.2218,0.2990
269,0.2931,0.3332,0.2218,0.2990
270,0.2931,0.3332,0.2218,0.2990
271,0.2931,0.3332,0.2218,0.2990
272,0.2931,0.3332,0.2218,0.2990
273,0.2931,0.3332,0.2218,0.2990
274,0.2931,0.3332,0.2218,0.2990
275,0.2931,0.3332,0.2218,0.2990
276,0.2931,0.3332,0.2218,0.2990
277,0.2931,0.3332,0.2218,0.2990
278,0.2931,0.3332,0.2218,0.2990
279,0.2931,0.3332,0.2218,0.2990
280,0.2931,0.3332,0.2218,0.2990
281,0.2931,0.3332,0.2218,0.2990
282,0.2931,0.3332,0.2218,0.2990
283,0.2931,0.3332,0.2218,0.2990
284,0.2931,0.3332,0.2218,0.2990
285,0.2931,0.3332,0.2218,0.2990
286,0.2931,0.3332,0.2218,0.2990
287,0.2931,0.3332,0.2218,0.2990
288,0.2931,0.3332,0.2218,0.2990
289,0.2931,0.3332,0.2218,0.2990
290,0.2931,0.3332,0.2218,0.2990
291,0.2931,0.3332,0.2218,0.2990
292,0.2931,0.3332,0.2218,0.2990
293,0.2931,0.3332,0.2218,0.2990
294,0.2931,0.3332,0.2218,0.2990
295,0.2931,0.3332,0.2218,0.2990
296,0.2931,0.3332,0.2218,0.2990
297,0.2931,0.3332,0.2218,0.2990
298,0.2931,0.3332,0.2218,0.2990
299,0.2931,0.3332,0.2218,0.2990
300,0.2931,0.3332,0.2218,0.2990
301,0.2931,0.3332,0.2218,0.2990
302,0.2931,0.3332,0.2218,0.2990
303,0.2931,0.3332,0.2218,0.2990
304,0.2931,0.3332,0.2218,0.2990
305,0.2931,0.3332,0.2218,0.2990
306,0.2931,0.3332,0.2218,0.2990
307,0.2931,0.3332,0.2218,0.2990
308,0.2931,0.3332,0.2218,0.2990
309,0.2931,0.3332,0.2218,0.2990
310,0.2931,0.3332,0.2218,0.2990
311,0.2931,0.3332,0.2218,0.2990
312,0.2931,0.3332,0.2218,0.2990
313,0.2931,0.3332,0.2218,0.2990
314,0.2931,0.3332,0.2218,0.2990
315,0.2931,0.3332,0.2218,0.2990
316,0.2931,0.3332,0.2218,0.2990
317,0.2931,0.3332,0.2218,0.2990
318,0.2931,0.3332,0.2218,0.2990
319,0.2931,0.3332,0.2218,0.2990
320,0.2931,0.3332,0.2218,0.2990
321,0.2931,0.3332,0.2218,0.2990
322,0.2931,0.3332,0.2218,0.2990
323,0.2931,0.3332,0.2218,0.2990
324,0.2931,0.3332,0.2218,0.2990
325,0.2931,0.3332,0.2218,0.2990
326,0.2931,0.3332,0.2218,0.2990
327,0.2931,0.3332,0.2218,0.2990
328,0.2931,0.3332,0.2218,0.2990
329,0.2931,0.3332,0.2218,0.2990
330,0.2931,0.3332,0.2218,0.2990
331,0.2931,0.3332,0.2218,0.2990
332,0.2931,0.3332,0.2218,0.2990
333,0.2931,0.3332,0.2218,0.2990
334,0.2931,0.3332,0.2218,0.2990
335,0.2931,0.3332,0.2218,0.2990
336,0.2931,0.3332,0.2218,0.2990
337,0.2931,0.3332,0.2218,0.2990
338,0.2931,0.3332,0.2218,0.2990
339,0.2931,0.3332,0.2218,0.2990
340,0.2931,0.3332,0.2218,0.2990
341,0.2931,0.3332,0.2218,0.2990
342,0.2931,0.3332,0.2218,0.2990
343,0.2931,0.3332,0.2218,0.2990
344,0.2931,0.3332,0.2218,0.2990
345,0.2931,0.3332,0.2218,0.2990
346,0.2931,0.3332,0.2218,0.2990
347,0.2931,0.3332,0.2218,0.2990
348,0.2931,0.3332,0.2218,0.2990
349,0.2931,0.3332,0.2218,0.2990
350,0.2931,0.3332,0.2218,0.2990
351,0.2931,0.3332,0.2218,0.2990
352,0.2931,0.3332,0.2218,0.2990
353,0.2931,0.3332,0.2218,0.2990
