Frame,FPS,MemoryMB,BelowTarget
334,Infinity,1496.56,0
335,Infinity,1496.36,0
336,Infinity,1496.59,0
337,Infinity,1496.51,0
338,Infinity,1496.62,0
339,Infinity,1496.76,0
340,Infinity,1496.81,0
341,Infinity,1496.51,0
342,Infinity,1496.91,0
343,Infinity,1497.08,0
344,Infinity,1497.11,0
345,Infinity,1497.31,0
346,Infinity,1497.47,0
347,Infinity,1497.10,0
348,Infinity,1497.75,0
349,Infinity,1497.73,0
350,Infinity,1497.79,0
351,Infinity,1498.09,0
352,Infinity,1498.01,0
353,Infinity,1498.13,0
354,Infinity,1498.16,0
355,Infinity,1498.21,0
356,Infinity,1498.36,0
357,Infinity,1498.31,0
358,Infinity,1498.43,0
359,Infinity,1498.28,0
360,Infinity,1498.38,0
361,Infinity,1498.43,0
362,Infinity,1498.57,0
363,Infinity,1498.75,0
364,Infinity,1499.53,0
365,Infinity,1498.85,0
366,Infinity,1499.54,0
367,Infinity,1499.30,0
368,Infinity,1499.35,0
369,Infinity,1499.37,0
370,Infinity,1499.51,0
371,Infinity,1499.99,0
372,Infinity,1499.69,0
373,Infinity,1499.56,0
374,Infinity,1499.75,0
375,Infinity,1499.81,0
376,Infinity,1500.17,0
377,Infinity,1499.95,0
378,Infinity,1500.65,0
379,Infinity,1500.29,0
380,Infinity,1500.35,0
381,Infinity,1500.32,0
382,Infinity,1501.13,0
383,Infinity,1500.47,0
384,Infinity,1500.57,0
385,Infinity,1500.65,0
386,Infinity,1500.65,0
387,Infinity,1500.77,0
388,Infinity,1501.08,0
389,Infinity,1500.96,0
390,Infinity,1501.21,0
391,Infinity,1501.42,0
392,Infinity,1501.58,0
393,Infinity,1501.63,0
394,Infinity,1501.86,0
395,Infinity,1501.77,0
396,Infinity,1501.75,0
397,Infinity,1501.89,0
398,Infinity,1502.15,0
399,Infinity,1502.20,0
400,Infinity,1502.57,0
401,Infinity,1502.37,0
402,Infinity,1502.52,0
403,Infinity,1502.57,0
404,Infinity,1502.22,0
405,Infinity,1502.62,0
406,Infinity,1502.49,0
407,Infinity,1502.34,0
